AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_NB_5;MAT_ENS_5;MAT_SI_6;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_NB_TOT;MAT_TOTAL;MAT_CHI;MAT_EXT;MAT_NAC;MAT_NO_ETNIA;MAT_ETNIA;MAT_SI_INT;MAT_HOM_INT;MAT_MUJ_INT;MAT_NB_INT;MAT_INT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT;SLEP;NOMBRE_SLEP
2024;988;1;LICEO PARTICULAR LUIS ALBERTO VERA                                                                                                                                                                                                                             ;3;2;0;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;121;0;191;0;0;0;0;45;105;150;0;0;0;115;226;0;0;341;323;18;0;335;6;0;33;46;0;79;0;0;0;0;6;0;6;0;12;0;0;0;;
2024;990;3;ESCUELA PARTICULAR LAS CANAS                                                                                                                                                                                                                                   ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;21;17;38;0;87;100;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;117;0;0;225;223;2;0;222;3;0;42;33;0;75;2;8;0;0;0;0;0;0;10;0;0;0;;
2024;991;1;ESCUELA PARTICULAR QUEBRADA EL PERAL                                                                                                                                                                                                                           ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;
2024;993;8;ESCUELA PARTICULAR CANELILLO ALTO                                                                                                                                                                                                                              ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;8;9;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;0;0;17;17;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;
2024;994;6;ESCUELA PARTICULAR RINCON DEL ROMERO                                                                                                                                                                                                                           ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;
2024;995;4;ESCUELA PARTICULAR CAREN                                                                                                                                                                                                                                       ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;12;13;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;13;0;0;25;25;0;0;25;0;0;0;0;0;0;0;8;0;0;0;0;0;0;8;0;0;0;;
2024;996;2;ESCUELA PARTICULAR EL LANCO                                                                                                                                                                                                                                    ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;
2024;997;0;ESCUELA PARTICULAR QUEBRADA DE CARCAMO                                                                                                                                                                                                                         ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2024;998;9;ESCUELA PARTICULAR ILTA                                                                                                                                                                                                                                        ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;5;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;8;6;2;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;;
2024;999;7;ESCUELA PARTICULAR 18 DE SEPTIEMBRE                                                                                                                                                                                                                            ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;3;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;;
2024;1000;6;ESCUELA PARTICULAR SAN ENRIQUE                                                                                                                                                                                                                                 ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2024;1001;4;ESCUELA PARTICULAR HERMINIA RAMOS                                                                                                                                                                                                                              ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;1;2;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;;
2024;1002;2;ESCUELA PARTICULAR EL SOCAVON                                                                                                                                                                                                                                  ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;4;4;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;;
2024;1003;0;ESCUELA PARTICULAR SAN ROMUALDO                                                                                                                                                                                                                                ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2024;1004;9;ESCUELA PARTICULAR LA CAPILLA                                                                                                                                                                                                                                  ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;5;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;6;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;
2024;1005;7;ESCUELA PARTICULAR RINCON DE TUNGA                                                                                                                                                                                                                             ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;5;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;
2024;1006;5;ESCUELA MANUEL JOSE IRARRAZAVAL                                                                                                                                                                                                                                ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;23;14;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;14;0;0;37;30;7;0;34;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;;
